CLIENT_ZIP,SITE_ID,SITE_LATITUDE,SITE_LONGITUDE,SITE_ZIP,DISTINCT_INTERACTION_ID_CNT,CLIENT_LATITUDE,CLIENT_LONGITUDE,STRAIGHT_DISTANCE_MILES
53405,37625,42.7275578,-87.7845572,53403.0,1,42.7161,-87.8233,2.12
53215,27536,43.0419228,-87.9088701,53202.0,1,43.006,-87.9429,3.02
53213,28397,43.0210082,-87.9968633,53214.0,1,43.0488,-88.0015,1.93
53211,30511,43.1034118,-87.993894,53218.0,1,43.082,-87.8895,5.47
53206,28431,43.0654111,-87.9144034,53212.0,1,43.0753,-87.9347,1.23
53233,27682,43.0433322,-87.9238174,53233.0,1,43.0407,-87.9357,0.63
53110,30499,43.00679569,-88.02960138,53214.0,1,42.949,-87.862,9.37
54603,35369,43.8186417,-91.2484103,54601.0,2,43.8487,-91.2484,2.08
53204,27402,43.0414982,-88.0201306,53226.0,1,43.0158,-87.9317,4.81
53214,27883,43.1144094,-87.9347786,53209.0,1,43.0215,-88.0176,7.66
53208,28114,43.0383969,-87.947036,53233.0,1,43.0488,-87.9625,1.06
53202,37472,43.3235665,-88.379204,53027.0,1,43.0506,-87.8968,30.76
53186,12661,43.0718225,-89.3816961,53703.0,1,42.9993,-88.2196,58.9
53072,29703,43.0256503,-88.232283,53188.0,1,43.0788,-88.2729,4.21
53214,26942,43.0706762,-87.9542334,53210.0,1,43.0215,-88.0176,4.67
53206,27803,43.0906535,-87.9450801,53206.0,1,43.0753,-87.9347,1.18
53206,28617,43.0136678,-88.237429,53188.0,1,43.0753,-87.9347,15.87
53223,28504,43.0441177,-88.0289889,53226.0,1,43.1624,-87.9898,8.41
53228,35464,43.0556602,-87.9181198,53212.0,1,42.9676,-88.0434,8.78
53208,34926,43.0371536,-87.951745,53208.0,2,43.0488,-87.9625,0.97
