INTERACTION_ID,SITE_ID,CLIENT_ID,CLIENT_ZIP,SITE_LATITUDE,SITE_LONGITUDE,SITE_ZIP
1395574,37820,22657,53206,43.0483622,-87.9296885,53205
1358841,28621,23044,53403,42.5663706,-87.8468795,53142
1319232,32482,23310,53406,42.7153861,-87.8181059,53405
1397300,28505,24607,53205,43.1192086,-88.0324478,53225
1395525,29704,20701,53208,38.8120934,-77.0405248,22314
1213904,27055,23264,53209,43.0395821,-87.9198778,53233
1401949,28240,24168,53402,42.7091628,-87.8045215,53403
1171447,27055,20643,53216,43.0395821,-87.9198778,53233
1311184,35298,20892,53405,42.732284,-87.7922417,53404
1211835,28405,21707,53218,43.0488227,-87.9278883,53205
1222424,37587,22504,53209,43.1423223,-87.9539741,53209
1266426,1508,23091,54304,44.52074525,-87.98543188,54305
1269877,20037,23091,54304,0,0,
1174668,27013,23163,53206,43.0755264,-87.9416179,53206
1343689,27737,23163,53206,43.0530363,-87.934476,53205
1310112,28600,23220,53206,43.0418686,-87.9084624,53202
1296463,27115,23508,53210,43.0554294,-87.9627315,53208
1263879,28504,20684,53208,43.0441177,-88.0289889,53226
1233150,28504,20684,53208,43.0441177,-88.0289889,53226
1291588,37442,20819,53209,43.128509,-87.955344,53209
1324203,37477,20928,53227,43.0395821,-87.9198778,53233
1361971,28397,20964,53218,43.0210082,-87.9968633,53214
1331867,27621,22193,53224,43.0565334,-87.9879237,53208
1269754,30126,22832,53204,43.015901,-87.9129857,53204
1235009,26951,23432,53212,43.0696125,-87.9161658,53212
1361202,28435,23565,53212,43.0409377,-87.9365218,53233
1398969,37820,23565,53212,43.0483622,-87.9296885,53205
1388770,28397,20599,53205,43.0210082,-87.9968633,53214
1342621,27171,20726,53206,43.0418686,-87.9084624,53202
1295699,28435,20829,53215,43.0409377,-87.9365218,53233
1179368,28397,21014,53206,43.0210082,-87.9968633,53214
1333409,28153,21319,53207,43.0386745,-87.9199844,53203
1366244,37819,21606,53208,43.0433344,-87.9240303,53233
1286614,28400,21806,53205,43.0488227,-87.9278883,53205
1319826,37477,23147,53223,43.0395821,-87.9198778,53233
1342796,37477,23205,53209,43.0395821,-87.9198778,53233
1313675,28468,23336,53216,43.052153,-87.9191542,53212
1231318,28397,21212,53208,43.0210082,-87.9968633,53214
1218416,28505,21988,53206,43.1192086,-88.0324478,53225
1218403,28505,21988,53206,43.1192086,-88.0324478,53225
1315202,28130,22056,53105,42.7300554,-87.9606641,53177
1402149,20039,22475,53204,43.0718225,-89.3816961,53703
1399888,20039,22475,53204,43.0718225,-89.3816961,53703
1398955,20037,22475,53204,0,0,
1378554,20037,22475,53204,0,0,
1221994,27400,22475,53204,43.0418585,-88.0261691,53226
1190568,27055,22475,53204,43.0395821,-87.9198778,53233
1171165,28622,23084,53209,43.0607703,-87.934476,53205
1178677,28622,23440,53224,43.0607703,-87.934476,53205
1188115,28400,23440,53224,43.0488227,-87.9278883,53205
1224758,29956,23690,53212,43.0760178,-87.9140969,53212
1268786,27737,24022,53206,43.0530363,-87.934476,53205
1324527,30499,24022,53206,43.00679569,-88.02960138,53214
1324183,28405,24158,53214,43.0488227,-87.9278883,53205
1277868,29697,24158,53214,43.1116189,-87.9641853,53209
1158920,27234,24158,53214,43.0676122,-87.9781143,53210
1382439,27656,24158,53214,43.0523297,-87.9458108,53205
1393160,28397,24158,53214,43.0210082,-87.9968633,53214
1381541,28397,24158,53214,43.0210082,-87.9968633,53214
1336235,28397,24158,53214,43.0210082,-87.9968633,53214
1300273,34907,24158,53214,43.067804,-87.9229711,53206
1335791,36980,24158,53214,43.1479775,-87.9791231,53223
1369572,None,24158,53214,,,
1382760,28117,24563,53216,43.0234168,-87.9869684,53214
1172267,27055,24563,53216,43.0395821,-87.9198778,53233
1219246,27803,20609,53210,43.0906535,-87.9450801,53206
1347590,28400,22716,53220,43.0488227,-87.9278883,53205
1233763,28405,23865,53221,43.0488227,-87.9278883,53205
1373756,28432,25539,53218,43.1203566,-88.0140662,53218
1323938,28400,26513,53218,43.0488227,-87.9278883,53205
1386744,28397,26768,53188,43.0210082,-87.9968633,53214
1383131,28397,26768,53188,43.0210082,-87.9968633,53214
1379993,28397,26768,53188,43.0210082,-87.9968633,53214
1372842,28397,26768,53188,43.0210082,-87.9968633,53214
1370087,28397,26768,53188,43.0210082,-87.9968633,53214
1366440,28397,26768,53188,43.0210082,-87.9968633,53214
1339871,28397,26768,53188,43.0210082,-87.9968633,53214
1330340,28397,26768,53188,43.0210082,-87.9968633,53214
